"유형","시군구","번지","건물명","계약일","거래금액_만원","건물면적_m2","토지면적_m2","토허조서_대조상태","메모"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250903","81000","29.4","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"단독/다가구","용산구 서계동","","","20250908","163000","149.64","97","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","223-33","에스에스빌라가동","20250919","100000","43.96","30","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","261-17","하이츠빌라A동(261-17)","20251001","81000","51.97","26","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-32","(33-32)","20251008","110000","54.68","41","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-11","(251-11)","20251013","35000","32.86","17","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","261-5","(261-5)","20251022","94000","54.12","26","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","247-15","(247-15)","20251024","62500","29.72","12","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-12","(251-12)","20251024","50000","25.03","9","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20251024","110000","71.08","62","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","257-2","(257-2)","20251029","41000","22.73","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","96-12","엘림빌라","20251101","111000","69.03","47","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20251101","80000","26.45","53","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","251-54","(251-54)","20251107","96000","56.02","26","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-11","(251-11)","20251110","35000","32.86","17","조서포함","토지거래허가구역 조서 지번과 일치"
